from_stop_id,to_stop_id,transfer_type,min_transfer_time
"345001","345002","3",""
"345002","345001","3",""
"346001","346002","3",""
"346002","346001","3",""
"358002","358001","3",""
"358001","358002","3",""
"363001","13601","2","300"
"363001","13602","2","300"
"367501","25901","2","120"
"373501","397501","2","180"
"373501","13501","3",""
"373501","13502","3",""
"373501","16902","2","240"
"373501","16901","2","240"
"376502","13501","3",""
"376502","13502","3",""
"376501","13501","3",""
"376501","13502","3",""
"962101","17901","2","300"
"962101","17902","2","300"
"385001","17301","2","300"
"385001","17302","2","300"
"385001","26401","2","300"
"385021","17301","2","300"
"385021","17302","2","300"
"385021","26401","2","300"
"385017","17301","2","300"
"385017","17302","2","300"
"385017","26401","2","300"
"385007","17301","2","300"
"385007","17302","2","300"
"385007","26401","2","300"
"385006","17301","2","300"
"385006","17302","2","300"
"385006","26401","2","300"
"385004","17301","2","300"
"385004","17302","2","300"
"385004","26401","2","300"
"385014","17301","2","300"
"385014","17302","2","300"
"385014","26401","2","300"
"385003","17301","2","300"
"385003","17302","2","300"
"385003","26401","2","300"
"385002","17301","2","300"
"385002","17302","2","300"
"385002","26401","2","300"
"391001","391002","3",""
"391002","391001","3",""
"397501","373501","2","180"
"397501","13501","3",""
"397501","13502","3",""
"397501","16902","2","240"
"397501","16901","2","240"
"400001","13601","2","300"
"400001","13602","2","300"
"400002","13601","2","300"
"400002","13602","2","300"
"401001","401002","3",""
"401002","401001","3",""
"451501","13702","2","300"
"451501","13701","2","300"
"455101","15701","2","180"
"455101","15702","2","180"
"458001","458002","3",""
"458002","458001","3",""
"470001","470002","3",""
"470002","470001","3",""
"503005","503003","3",""
"503003","503005","3",""
"507002","507001","3",""
"507001","507002","3",""
"12801","12802","2","180"
"12802","12801","2","180"
"12901","12902","2","180"
"12902","12901","2","180"
"13001","13002","2","180"
"13002","13001","2","180"
"13101","13102","2","180"
"13102","13101","2","180"
"13201","13202","2","180"
"13202","13201","2","180"
"13301","13302","3",""
"13301","161501","2","180"
"13301","161504","2","180"
"13301","161502","2","180"
"13301","199001","2","180"
"13301","199003","2","180"
"13301","199004","2","180"
"13301","161503","2","180"
"13302","13301","3",""
"13302","161501","2","180"
"13302","161504","2","180"
"13302","161502","2","180"
"13302","199001","2","180"
"13302","199003","2","180"
"13302","199004","2","180"
"13302","161503","2","180"
"13402","13401","2","180"
"13401","13402","2","180"
"13501","373501","3",""
"13501","376502","3",""
"13501","376501","3",""
"13501","397501","3",""
"13501","13502","3",""
"13501","16902","2","180"
"13501","16901","2","180"
"13501","123002","3",""
"13501","123005","3",""
"13501","123004","3",""
"13501","123003","3",""
"13501","123008","3",""
"13502","373501","3",""
"13502","376502","3",""
"13502","376501","3",""
"13502","397501","3",""
"13502","13501","3",""
"13502","16902","2","180"
"13502","16901","2","180"
"13502","123002","3",""
"13502","123005","3",""
"13502","123004","3",""
"13502","123003","3",""
"13502","123008","3",""
"13601","363001","2","300"
"13601","400001","2","300"
"13601","400002","2","300"
"13601","13602","3",""
"13601","17502","2","180"
"13601","17501","2","180"
"13602","363001","2","300"
"13602","400001","2","300"
"13602","400002","2","300"
"13602","13601","3",""
"13602","17502","2","180"
"13602","17501","2","180"
"13702","451501","2","300"
"13702","13701","3",""
"13702","138101","2","300"
"13701","451501","2","300"
"13701","13702","3",""
"13701","138101","2","300"
"13802","13801","2","180"
"13801","13802","2","180"
"13902","13901","2","180"
"13901","13902","2","180"
"14002","14001","2","180"
"14001","14002","2","180"
"14102","14101","2","180"
"14101","14102","2","180"
"14201","14202","2","240"
"14202","14201","2","240"
"14302","14301","2","180"
"14302","314101","2","300"
"14301","14302","2","180"
"14301","314101","2","300"
"14601","14602","2","180"
"14602","14601","2","180"
"14801","14802","2","180"
"14802","14801","2","180"
"14901","14902","2","180"
"14902","14901","2","180"
"15001","15002","2","180"
"15002","15001","2","180"
"15101","15102","2","240"
"15102","15101","2","240"
"15201","15202","2","240"
"15202","15201","2","240"
"15301","15302","2","300"
"15301","21802","2","300"
"15301","21801","2","300"
"15301","245101","2","300"
"15302","15301","2","300"
"15302","21802","2","300"
"15302","21801","2","300"
"15302","245101","2","300"
"15401","15402","2","120"
"15401","21602","2","300"
"15401","21601","2","300"
"15401","927501","2","300"
"15402","15401","2","120"
"15402","21602","2","300"
"15402","21601","2","300"
"15402","927501","2","300"
"15502","15501","2","120"
"15502","15503","2","120"
"15502","15504","2","120"
"15501","15502","2","120"
"15501","15503","2","120"
"15501","15504","2","120"
"15601","15602","2","120"
"15601","903501","2","120"
"15601","903502","2","120"
"15601","903503","2","120"
"15601","903505","2","120"
"15601","903504","2","120"
"15601","903507","2","120"
"15602","15601","2","120"
"15602","903501","2","120"
"15602","903502","2","120"
"15602","903503","2","120"
"15602","903505","2","120"
"15602","903504","2","120"
"15602","903507","2","120"
"15701","455101","2","180"
"15701","15702","2","300"
"15702","455101","2","180"
"15702","15701","2","300"
"15801","15802","2","180"
"15801","603501","2","180"
"15801","610101","2","300"
"15802","15801","2","180"
"15802","603501","2","180"
"15802","610101","2","300"
"15901","15902","2","300"
"15902","15901","2","300"
"16002","16001","2","180"
"16002","215117","2","300"
"16002","215120","2","300"
"16002","215121","2","300"
"16002","215122","2","300"
"16002","215123","2","300"
"16002","215124","2","300"
"16001","16002","2","180"
"16001","215117","2","300"
"16001","215120","2","300"
"16001","215121","2","300"
"16001","215122","2","300"
"16001","215123","2","300"
"16001","215124","2","300"
"16102","16101","2","180"
"16101","16102","2","180"
"16202","16201","2","180"
"16201","16202","2","180"
"16302","16301","3",""
"16301","16302","3",""
"16402","16401","2","180"
"16402","713101","2","300"
"16401","16402","2","180"
"16401","713101","2","300"
"16502","16501","2","180"
"16501","16502","2","180"
"16602","16601","3",""
"16601","16602","3",""
"16702","16701","2","180"
"16702","206101","2","180"
"16701","16702","2","180"
"16701","206101","2","180"
"16802","16801","2","180"
"16801","16802","2","180"
"16902","373501","2","240"
"16902","397501","2","240"
"16902","13501","2","180"
"16902","13502","2","180"
"16902","16901","2","180"
"16902","123002","2","240"
"16902","123005","2","240"
"16902","123004","2","240"
"16902","123003","2","240"
"16902","123008","2","240"
"16901","373501","2","240"
"16901","397501","2","240"
"16901","13501","2","180"
"16901","13502","2","180"
"16901","16902","2","180"
"16901","123002","2","240"
"16901","123005","2","240"
"16901","123004","2","240"
"16901","123003","2","240"
"16901","123008","2","240"
"17001","17002","2","180"
"17001","106001","2","300"
"17001","106002","2","300"
"17001","119001","2","180"
"17002","17001","2","180"
"17002","106001","2","300"
"17002","106002","2","300"
"17002","119001","2","180"
"17101","17102","2","180"
"17101","100011","2","300"
"17101","100001","2","300"
"17101","100010","2","300"
"17101","100009","2","300"
"17101","100008","2","300"
"17101","100007","2","300"
"17101","100006","2","300"
"17101","100005","2","300"
"17101","100004","2","300"
"17101","100013","2","300"
"17101","100003","2","300"
"17101","100012","2","300"
"17101","100020","2","300"
"17101","100023","2","300"
"17101","100024","2","300"
"17101","100025","2","300"
"17102","17101","2","180"
"17102","100011","2","300"
"17102","100001","2","300"
"17102","100010","2","300"
"17102","100009","2","300"
"17102","100008","2","300"
"17102","100007","2","300"
"17102","100006","2","300"
"17102","100005","2","300"
"17102","100004","2","300"
"17102","100013","2","300"
"17102","100003","2","300"
"17102","100012","2","300"
"17102","100020","2","300"
"17102","100023","2","300"
"17102","100024","2","300"
"17102","100025","2","300"
"17201","17202","2","180"
"17202","17201","2","180"
"17301","385001","2","300"
"17301","385021","2","300"
"17301","385017","2","300"
"17301","385007","2","300"
"17301","385006","2","300"
"17301","385004","2","300"
"17301","385014","2","300"
"17301","385003","2","300"
"17301","385002","2","300"
"17301","17302","2","180"
"17301","26401","2","300"
"17301","385019","2","300"
"17301","385023","2","300"
"17301","385043","2","300"
"17301","385044","2","300"
"17301","385045","2","300"
"17301","385046","2","300"
"17301","385048","2","300"
"17301","385049","2","300"
"17301","385050","2","300"
"17301","385025","2","300"
"17301","385027","2","300"
"17301","385029","2","300"
"17302","385001","2","300"
"17302","385021","2","300"
"17302","385017","2","300"
"17302","385007","2","300"
"17302","385006","2","300"
"17302","385004","2","300"
"17302","385014","2","300"
"17302","385003","2","300"
"17302","385002","2","300"
"17302","17301","2","180"
"17302","26401","2","300"
"17302","385019","2","300"
"17302","385023","2","300"
"17302","385043","2","300"
"17302","385044","2","300"
"17302","385045","2","300"
"17302","385046","2","300"
"17302","385048","2","300"
"17302","385049","2","300"
"17302","385050","2","300"
"17302","385025","2","300"
"17302","385027","2","300"
"17302","385029","2","300"
"17401","17402","2","180"
"17402","17401","2","180"
"17502","13601","2","180"
"17502","13602","2","180"
"17502","17501","2","180"
"17501","13601","2","180"
"17501","13602","2","180"
"17501","17502","2","180"
"17601","17602","2","180"
"17602","17601","2","180"
"17701","17702","2","180"
"17702","17701","2","180"
"17801","17802","2","180"
"17802","17801","2","180"
"17901","962101","2","300"
"17901","17902","3",""
"17901","27301","2","300"
"17902","962101","2","300"
"17902","17901","3",""
"17902","27301","2","300"
"21401","722001","2","180"
"21401","722002","2","180"
"21501","723001","2","180"
"21501","723002","2","180"
"21602","15401","2","300"
"21602","15402","2","300"
"21602","21601","3",""
"21601","15401","2","300"
"21601","15402","2","300"
"21601","21602","3",""
"21701","26501","2","180"
"21701","28701","2","300"
"21802","15301","2","300"
"21802","15302","2","300"
"21802","21801","3",""
"21801","15301","2","300"
"21801","15302","2","300"
"21801","21802","3",""
"21902","21901","3",""
"21902","641001","2","180"
"21902","641002","2","180"
"21901","21902","3",""
"21901","641001","2","180"
"21901","641002","2","180"
"22002","22001","3",""
"22002","641001","2","180"
"22002","641002","2","180"
"22001","22002","3",""
"22001","641001","2","180"
"22001","641002","2","180"
"22102","22101","3",""
"22102","689002","2","180"
"22101","22102","3",""
"22101","689002","2","180"
"22202","22201","3",""
"22202","688002","2","180"
"22201","22202","3",""
"22201","688002","2","180"
"22302","22301","3",""
"22302","299001","2","180"
"22302","299002","2","180"
"22301","22302","3",""
"22301","299001","2","180"
"22301","299002","2","180"
"22402","22401","2","0"
"22402","691001","2","300"
"22401","22402","2","0"
"22401","691001","2","300"
"25901","367501","2","120"
"26101","642001","2","300"
"26101","642002","2","300"
"26201","723001","2","300"
"26201","723002","2","300"
"26501","21701","2","180"
"100011","17101","2","300"
"100011","17102","2","300"
"100011","100001","2","120"
"100011","100010","2","120"
"100011","100009","2","120"
"100011","100008","2","120"
"100011","100007","2","120"
"100011","100006","2","120"
"100011","100005","2","120"
"100011","100004","2","120"
"100011","100013","2","120"
"100011","100003","2","120"
"100011","100012","2","120"
"100011","100020","2","120"
"100011","100023","2","120"
"100011","100024","2","120"
"100011","100025","2","120"
"100001","17101","2","300"
"100001","17102","2","300"
"100001","100011","2","120"
"100001","100010","2","120"
"100001","100009","2","120"
"100001","100008","2","120"
"100001","100007","2","120"
"100001","100006","2","120"
"100001","100005","2","120"
"100001","100004","2","120"
"100001","100013","2","120"
"100001","100003","2","120"
"100001","100012","2","120"
"100001","100020","2","120"
"100001","100023","2","120"
"100001","100024","2","120"
"100001","100025","2","120"
"100010","17101","2","300"
"100010","17102","2","300"
"100010","100011","2","120"
"100010","100001","2","120"
"100010","100009","2","120"
"100010","100008","2","120"
"100010","100007","2","120"
"100010","100006","2","120"
"100010","100005","2","120"
"100010","100004","2","120"
"100010","100013","2","120"
"100010","100003","2","120"
"100010","100012","2","120"
"100010","100020","2","120"
"100010","100023","2","120"
"100010","100024","2","120"
"100010","100025","2","120"
"100009","17101","2","300"
"100009","17102","2","300"
"100009","100011","2","120"
"100009","100001","2","120"
"100009","100010","2","120"
"100009","100008","2","120"
"100009","100007","2","120"
"100009","100006","2","120"
"100009","100005","2","120"
"100009","100004","2","120"
"100009","100013","2","120"
"100009","100003","2","120"
"100009","100012","2","120"
"100009","100020","2","120"
"100009","100023","2","120"
"100009","100024","2","120"
"100009","100025","2","120"
"100008","17101","2","300"
"100008","17102","2","300"
"100008","100011","2","120"
"100008","100001","2","120"
"100008","100010","2","120"
"100008","100009","2","120"
"100008","100007","2","120"
"100008","100006","2","120"
"100008","100005","2","120"
"100008","100004","2","120"
"100008","100013","2","120"
"100008","100003","2","120"
"100008","100012","2","120"
"100008","100020","2","120"
"100008","100023","2","120"
"100008","100024","2","120"
"100008","100025","2","120"
"100007","17101","2","300"
"100007","17102","2","300"
"100007","100011","2","120"
"100007","100001","2","120"
"100007","100010","2","120"
"100007","100009","2","120"
"100007","100008","2","120"
"100007","100006","2","120"
"100007","100005","2","120"
"100007","100004","2","120"
"100007","100013","2","120"
